# base64_utf8_original	base64_utf8_russian
QWxs	0JLRgdC1
U2l0IGF0IHRoZSBjYXJkIHRhYmxlLg==	0KHRj9C00YzRgtC1INC30LAg0LrQsNGA0YLQvtGH0L3Ri9C5INGB0YLQvtC7Lg==
U21hbGwgK0NyZWQgKHJlbGlhYmxlKQ==	U21hbGwgK0NyZWQgKNC90LDQtNC10LbQvdGL0Lkp
U29sZCB0byB0aGUgQ3JpbWUgTG9yZA==	0J/RgNC+0LTQsNC90L4g0JrRgNC40LzQuNC90LDQu9GM0L3Ri9C5INCb0L7RgNC0
U3RhdGlvbiBzdXNwaWNpb24gZmxhZw==	0KTQu9Cw0LMg0L/QvtC00L7Qt9GA0LXQvdC40Y8g0L3QsCDRgdGC0LDQvdGG0LjQuA==
U3dhcCBhY3RpdmUgbmVnb3RpYXRvcg==	0JDQutGC0LjQstC90YvQuSDQv9C10YDQtdCz0L7QstC+0YDRidC40Log0L/QviDQvtCx0LzQtdC90YM=
VGFrZSB0aGVtIChJbnRpbWlkYXRlKQ==	0JLQvtC30YzQvNC40YLQtSDQuNGFICjQt9Cw0L/Rg9Cz0LDRgtGMKQ==
VGhlIG91dHBvc3QgbmVnb3RpYXRvcg==	0J/QtdGA0LXQs9C+0LLQvtGA0YnQuNC6INCw0LLQsNC90L/QvtGB0YLQsA==
VGhlIHBvZHMgc2xhbW1lZCBkb3duLg==	0JrQsNC/0YHRg9C70Ysg0YPQv9Cw0LvQuC4=
VGhlIHRhYmxlIGlzIGx1a2V3YXJtLg==	0KHRgtC+0Lsg0YLQtdC/0LvRi9C5Lg==
VHJhZGUgKERldjogaW5zdGFudGx5KQ==	0KLQvtGA0LPQvtCy0LvRjyAoRGV2OiDQvNCz0L3QvtCy0LXQvdC90L4p
VW5sb2NrcyBhIGZ1dHVyZSBydW1vcg==	0J7RgtC60YDRi9Cy0LDQtdGCINCx0YPQtNGD0YnQuNC5INGB0LvRg9GF
VmlzaXQgKERldjogaW5zdGFudGx5KQ==	0J/QvtGB0LXRidC10L3QuNC1ICjQoNCw0LfRgNCw0LHQvtGC0LrQsDog0LzQs9C90L7QstC10L3QvdC+KQ==
WW91IGhhdmUgdGhlIHJlY29yZGluZw==	0KMg0LLQsNGBINC10YHRgtGMINC30LDQv9C40YHRjA==
W1dvcmtzaXRlc10gRGVsaXZlcmVkIA==	W1dvcmtzaXRlc10g0JTQvtGB0YLQsNCy0LvQtdC90L4g
YSBidXJzdCBob2xlcyB0aGUgaHVsbA==	0L/RgNC+0LHQvtC40L3QsCDQsiDQutC+0YDQv9GD0YHQtQ==
YXJlIGluZmFtb3VzIGZvciBiZWluZw==	0L/QtdGH0LDQu9GM0L3QviDQuNC30LLQtdGB0YLQvdGLINC60LDQug==
YmV0cyBvbiB0aGUgY3JpbWUgbG9yZA==	0YHRgtCw0LLQutC4INC90LAg0LrRgNC40LzQuNC90LDQu9GM0L3QvtCz0L4g0LDQstGC0L7RgNC40YLQtdGC0LA=
Y2xpZW50IHN3aXRjaGVzIG9wZW5seQ==	0LrQu9C40LXQvdGCINC/0LXRgNC10LrQu9GO0YfQsNC10YLRgdGPINC+0YLQutGA0YvRgtC+
Y291bnRlcm1lYXN1cmUgZXhwZXJ0cw==	0Y3QutGB0L/QtdGA0YLRiyDQv9C+INC/0YDQvtGC0LjQstC+0LTQtdC50YHRgtCy0LjRjg==
ZGVlcC1zcGFjZSByZXNlYXJjaGVycw==	0JjRgdGB0LvQtdC00L7QstCw0YLQtdC70Lgg0LTQsNC70YzQvdC10LPQviDQutC+0YHQvNC+0YHQsA==
a2VlcCB0aGVtIGZvciB0aGUgY3Jldw==	0LTQtdGA0LbQuNGCINC40YUg0LTQu9GPINGN0LrQuNC/0LDQttCwLg==
a2VlcHMgdGhlIHByZXNzdXJlIG9uLg==	0L/QvtC00LTQtdGA0LbQuNCy0LDQtdGCINC00LDQstC70LXQvdC40LUu
bG9uZy1oYXVsIHNwYWNlIHBpbG90cw==	0LrQvtGB0LzQuNGH0LXRgdC60LjQtSDQv9C40LvQvtGC0Yst0LTQsNC70YzQvdC10LzQsNCz0LjRgdGC0YDQsNC70Lg=
dGhlaXIgbXlzdGVyaW91cyBjYXJnbw==	0LjRhSDRgtCw0LjQvdGB0YLQstC10L3QvdGL0Lkg0LPRgNGD0Lc=
dGhlaXIgc3RhdGlvbiBjb250cmFjdA==	0LjRhSDQutC+0L3RgtGA0LDQutGCINC90LAg0YHRgtCw0L3RhtC40Y4=
ezB9IFN0YXBsZSBQY3Q6IHsxOlAwfQ==	ezB9INCh0YLQtdC/0LvQtdGAIFBjdDogezE6UDB9
CnswfSB4IHsxfSA9IHsyfSBzaWx2ZXI=	CnswfSB4IHsxfSA9IHsyfSDRgdC10YDQtdCx0YDQuNGB0YLRi9C5
ICAocmVjb3ZlcmVkIG9uIHJldHJ5OiA=	ICAo0LLQvtGB0YHRgtCw0L3QsNCy0LvQuNCy0LDQtdGC0YHRjyDQv9GA0Lgg0L/QvtCy0YLQvtGA0L3QvtC5INC/0L7Qv9GL0YLQutC1OiA=
IE1hdGNoZWQgc3RhcGxlIHBsYW50OiA=	INCh0L7QvtGC0LLQtdGC0YHRgtCy0YPRjtGJ0LjQuSDQt9Cw0LLQvtC0INC/0L4g0L/RgNC+0LjQt9Cy0L7QtNGB0YLQstGDINGB0LrQvtCxOiA=
JyBieSBuYW1lIGFuZCBwbGFjZWQgaXQ=	JyDQv9C+INC40LzQtdC90Lgg0Lgg0YDQsNC30LzQtdGB0YLQuNC7INC10LPQviw=
KE5vIHN1cmdlb25zIG9uIHNoaWZ0Lik=	KNCd0LAg0YHQvNC10L3QtSDQvdC10YIg0YXQuNGA0YPRgNCz0L7Qsi4p
KSB0byBjYXJhdmFuIGludmVudG9yeS4=	KSDQsiDQuNC90LLQtdC90YLQsNGA0Ywg0LrQsNGA0LDQstCw0L3QsC4=
LiBUaGUgYmV0IHdhcyB1bmNhbGxlZC4=	LiDQodGC0LDQstC60LAg0LHRi9C70LAg0L3QtdC00LXQudGB0YLQstC40YLQtdC70YzQvdC+0Lku
QWRhcHQgKE5lYXIgT3JiaXQgcC4xMyk=	QWRhcHQgKE5lYXIgT3JiaXQg0YHRgtGALiAxMyk=
QmFua2luZyBhaW0gKHswfSBoZWxkKS4=	0JHQsNC90LrQvtCy0YHQutCw0Y8g0YbQtdC70YwgKHswfSDRg9C00LXRgNC20LDQvdCwKS4=
QnV5ZXIncyBzdGFsbCBmaXJlZmlnaHQ=	0J/QtdGA0LXRgdGC0YDQtdC70LrQsCDQsiDQv9Cw0LvQsNGC0LrQtSDQv9C+0LrRg9C/0LDRgtC10LvRjw==
Q2FyYXZhbiBoYXMgYSBkaWFib2x1cy4=	0JrQsNGA0LDQstCw0L0g0LjQvNC10LXRgiDQtNGM0Y/QstC+0LvQsC4=
Q2Fza2V0IGludGFjdCwgYXJyaXZpbmc=	0JvQsNGA0LXRhiDQvdC10L/QvtCy0YDQtdC20LTQtdC90L3Ri9C5LCDQv9GA0LjQsdGL0YLQuNC1
Q3JldyBsaXZlcyAobm8gcmV2ZW5nZSk=	0K3QutC40L/QsNC2INC20LjQsiAo0L3QtdGCINC80LXRgdGC0Lgp
Q3JpbWUgbG9yZCByZXZlbmdlIGZsYWc=	Q3JpbWUg0KTQu9Cw0LMg0LzQtdGB0YLQuCDQu9C+0YDQtNCw
RGVhbGVyIG11c3Qgc3RhbmQgb24gMTc=	LiDQlNC40LvQtdGAINC00L7Qu9C20LXQvSDRgdGC0L7Rj9GC0Ywg0L3QsCAxNy4=
RGlzYWJsZSBvdXRwb3N0IHR1cnJldHM=	0J7RgtC60LvRjtGH0LjRgtGMINGC0YPRgNC10LvQuCDQsNCy0LDQvdC/0L7RgdGC0L7Qsg==
RnVsbCBwYXkgKyBib251cyAofjU2MCk=	0J/QvtC70L3QsNGPINC+0L/Qu9Cw0YLQsCArINCx0L7QvdGD0YEgKH41NjAp
TGVhdmUgKG5vIG9wdGlvbnMgaGVyZSk=	0J7RgdGC0LDQstC40YLRjCAo0LfQtNC10YHRjCDQvdC10YIg0LLQsNGA0LjQsNC90YLQvtCyKQ==
TWFsbm91cmlzaGVkIGNvbG9uaXN0cy4=	0J3QtdC00L7QtdC00LDRjtGJ0LjQtSDQutC+0LvQvtC90LjRgdGC0Ysu
Tm8gc3VzcGljaW9uLCBubyB3b3VuZHM=	0J3QuNC60LDQutC40YUg0L/QvtC00L7Qt9GA0LXQvdC40LksINC90LjQutCw0LrQuNGFINGA0LDQvQ==
Tm9uLVBzeWNob3BhdGggbW9vZCBoaXQ=	0J3QtdC/0YHQuNGF0L7Qv9Cw0YLQuNGH0LXRgdC60L7QtSDQvdCw0YHRgtGA0L7QtdC90LjQtQ==
Tm90IGNvbm5lY3RlZCB0byBwb3dlci4=	0J3QtSDQv9C+0LTQutC70Y7Rh9C10L0g0Log0LjRgdGC0L7Rh9C90LjQutGDINC/0LjRgtCw0L3QuNGPLg==
UGFybGV5IChEZXY6IGluc3RhbnRseSk=	0J/QtdGA0LXQs9C+0LLQvtGA0YsgKERldjog0LzQs9C90L7QstC10L3QvdC+KQ==
UGFybGV5aW5nIHdpdGggb3V0cG9zdC4=	0J/QtdGA0LXQs9C+0LLQvtGA0Ysg0YEg0LDQstCw0L3Qv9C+0YHRgtC+0Lw=
UGFydHMgY29sbGVjdGVkLCBibG9vZHk=	0JTQtdGC0LDQu9C4INGB0L7QsdGA0LDQvdGLLCDQutGA0L7QstCw0LLRi9C1
UGVybWFuZW50IGZhY3Rpb25zIG9ubHk=	0KLQvtC70YzQutC+INC/0L7RgdGC0L7Rj9C90L3Ri9C1INGE0YDQsNC60YbQuNC4
UGljayBvbmUgYmlvbmljIGluIGtpbmQ=	0JLRi9Cx0LXRgNC40YLQtSDQvtC00L3RgyDQsdC40L7QvdC40LrRgyDQsiDQvdCw0YLRg9GA0LDQu9GM0L3QvtC8INCy0LjQtNC1
VGVtcG9yYXJ5IGZhY3Rpb25zIG9ubHk=	0KLQvtC70YzQutC+INCy0YDQtdC80LXQvdC90YvQtSDRhNGA0LDQutGG0LjQuA==
WW91IG5ldmVyIHNhdyBpdCBjb21pbmc=	0JLRiyDQvdC40LrQvtCz0LTQsCDQvdC1INC+0LbQuNC00LDQu9C4LCDRh9GC0L4g0Y3RgtC+INC/0YDQvtC40LfQvtC50LTQtdGC
YWxsIGtpbmRzIG9mIHRyYXZlbGxlcnM=	0LLRgdC1INCy0LjQtNGLINC/0YPRgtC10YjQtdGB0YLQstC10L3QvdC40LrQvtCy
YW5jaG9yZWQsIHRoZW4gY3Jvc3MgaW4=	LCDRgdGC0L7Rj9GJ0LjQuSDQvdCwINGP0LrQvtGA0LUsINCwINC30LDRgtC10Lwg0L/QtdGA0LXRgdC10LrQsNGO0YnQuNC5INCz0YDQsNC90LjRhtGD
Y2hyb21lIG91dCwgbWFyayBtYWltZWQ=	0YXRgNC+0LwsINC30L3QsNC6INC40YHQutCw0LvQtdGH0LXQvQ==
ZGVsaXZlciBmb3IgcXVlc3Rpb25pbmc=	0LTQvtGB0YLQsNCy0LvQtdC90Ysg0L3QsCDQtNC+0L/RgNC+0YE=
ZG9uJ3QgYm9hcmQsIHN0YW5kIGRvd24=	0L3QtSDRgdCw0LTQuNGC0LXRgdGMINC90LAg0LHQvtGA0YIsINC+0YLRgdGC0YPQv9C40YLQtQ==
Z3JhYiBpdCB3aXRob3V0IGxvb2tpbmc=	0YHRhdCy0LDRgtC40Lsg0LXQs9C+LCDQvdC1INCz0LvRj9C00Y8=
aW50ZXJzdGVsbGFyIGRydWcgbG9yZHM=	0LzQtdC20LfQstC10LfQtNC90YvQtSDQvdCw0YDQutC+0LHQsNGA0L7QvdGL
aW50cm9Ob3VuLT5UcmFuc21pc3Npb24=	aW50cm9Ob3VuLT7QotGA0LDQvdGB0LzQuNGB0YHQuNGP
bWFkZSBhdCB0aGUgZHJ1ZyBsb2NrZXI=	0YHQtNC10LvQsNC90L4g0LIg0YjQutCw0YTRh9C40LrQtSDQtNC70Y8g0LvQtdC60LDRgNGB0YLQsg==
cXVpZXQga2lsbCwgaHVsbCBpbnRhY3Q=	0YLQuNGF0L7QtSDRg9Cx0LjQudGB0YLQstC+LCDQutC+0YDQv9GD0YEg0YbQtdC7
c3RvcCwgaGFuZCB0aGUga2l0IGJhY2s=	0YHRgtC+0L8sINC+0YLQtNCw0Lkg0LrQvtC80L/Qu9C10LrRgiDQvtCx0YDQsNGC0L3Qvg==
dGhlaXIgcmFtcGFudCBzbXVnZ2xpbmc=	0LjRhSDQsdC10LfRg9C00LXRgNC20L3QsNGPINC60L7QvdGC0YDQsNCx0LDQvdC00LA=
ezB9IGZvciBzdG9yZWQgY2hlbWZ1ZWw=	ezB9INC00LvRjyDRhdGA0LDQvdC40LzQvtCz0L4g0YXQuNC80LjRh9C10YHQutC+0LPQviDRgtC+0L/Qu9C40LLQsA==
ezB9IGlzIGhpZ2ggb24gd2FrZS11cC4=	ezB9INC/0YDQuCDQv9GA0L7QsdGD0LbQtNC10L3QuNC4INC90LDRhdC+0LTQuNGC0YHRjyDQvdCwINCy0YvRgdC+0LrQvtC8INGD0YDQvtCy0L3QtS4=
ezB9IHsxfSBpbiB0aGUgY2FyYXZhbi4=	ezB9IHsxfSDQsiDQutCw0YDQsNCy0LDQvdC1Lg==
JyBpcyBudWxsLiBSYWlkIHNraXBwZWQu	JyDQuNC80LXQtdGCINC30L3QsNGH0LXQvdC40LUgbnVsbC4=
QnJlYWsgdGhlbSBvdXQgKFN0ZWFsdGgp	0KDQsNC30LHQtdC5INC40YUgKNCh0LrRgNGL0YLQvdC+0YHRgtGMKQ==
Q2FyYXZhbiBoYXMgYSBjZW50aXBlZGUu	Q2FyYXZhbiDQtdGB0YLRjCDQvNC90L7Qs9C+0L3QvtC20LrQsC4=
Q2Fza2V0IGZhaWx1cmUgKE1lZGljYWwp	0J3QtdC40YHQv9GA0LDQstC90L7RgdGC0Ywg0LPRgNC+0LHQsCAo0LzQtdC00LjRhtC40L3RgdC60LDRjyDQv9C+0LzQvtGJ0Ywp
Q29uc3VtYWJsZXMgYW5kIG1lZGljaW5l	0KDQsNGB0YXQvtC00L3Ri9C1INC80LDRgtC10YDQuNCw0LvRiyDQuCDQvNC10LTQuNC60LDQvNC10L3RgtGL
Q291bGRudCBtYXRlcmlhbGlzZSB0aGUg	0J3QtSDRg9C00LDQu9C+0YHRjCDRgNC10LDQu9C40LfQvtCy0LDRgtGMIA==
Q3JlZCByaXNrIGlmIGl0IHN1cmZhY2Vz	0JrRgNC10LTQuNGC0L3Ri9C5INGA0LjRgdC6LCDQtdGB0LvQuCDQvtC9INC/0L7Rj9Cy0LjRgtGB0Y8=
RG8geW91IHdhbnQgdG8ga2VlcCB0aGUg	0KXQvtGC0LjRgtC1LCDRh9GC0L7QsdGLIA==
RG9jayBhdCAoRGV2OiBpbnN0YW50bHkp	RG9jayDQsiAo0KDQsNC30YDQsNCx0L7RgtC60LA6INC80LPQvdC+0LLQtdC90L3Qvik=
RG9jayBhdCBvcmJpdGFsIHBsYXRmb3Jt	0KHRgtGL0LrQvtCy0LrQsCDRgSDQvtGA0LHQuNGC0LDQu9GM0L3QvtC5INC/0LvQsNGC0YTQvtGA0LzQvtC5
RnVsbCBwYXkgKyBib251cyAofjMwMDAp	0J/QvtC70L3QsNGPINC+0L/Qu9Cw0YLQsCArINCx0L7QvdGD0YEgKH4zMDAwKQ==
R2FtYmxpbmcgZmxvb3IgZmlyZWZpZ2h0	0J/QtdGA0LXRgdGC0YDQtdC70LrQsCDQsiDQuNCz0L7RgNC90L7QvCDQt9Cw0LvQtQ==
SW5zdXJhbmNlIHBheW91dCAobGFyZ2Up	0KHRgtGA0LDRhdC+0LLQsNGPINCy0YvQv9C70LDRgtCwICjQsdC+0LvRjNGI0LDRjyk=
UmVjb3JkZXIgcmV0dXJuZWQgaW50YWN0	0KPRgdGC0YDQvtC50YHRgtCy0L4g0LfQsNC/0LjRgdC4INCy0L7Qt9Cy0YDQsNGJ0LXQvdC+INCyINGG0LXQu9C+0YHRgtC4INC4INGB0L7RhdGA0LDQvdC90L7RgdGC0Lgu
U2lsdmVyIHBhaWQgKHRoZSByYW5zb20p	0J/Qu9Cw0YLQsCDRgdC10YDQtdCx0YDQvtC8ICjQstGL0LrRg9C/KQ==
U29sZCB7MH0gZm9yIHsxfSBzaWx2ZXIu	0J/RgNC+0LTQsNC10YLRgdGPIHswfSDQt9CwIHsxfSDRgdC10YDQtdCx0YDQvi4=
U291cC12ZW5kb3IgcmVsYXRpb25zaGlw	0J7RgtC90L7RiNC10L3QuNGPINGBINC/0L7RgdGC0LDQstGJ0LjQutCw0LzQuCDRgdGD0L/QsA==
VGFrZSB0aGVtIGJhY2sgYnkgZm9yY2Uu	0JLQtdGA0L3QuNGC0LUg0LjRhSDRgdC40LvQvtC5Lg==
VGhlIHRhYmxlIGlzIHdhcm1pbmcgdXAu	0JjQtNC10YIg0L/RgNC+0LPRgNC10LIg0YHRgtC+0LvQsC4=
VXNlIHRoZSBjcmV3J3Mgb3duIHJpZmxl	0JjRgdC/0L7Qu9GM0LfQvtCy0LDRgtGMINGB0L7QsdGB0YLQstC10L3QvdGD0Y4g0LLQuNC90YLQvtCy0LrRgyDRjdC60LjQv9Cw0LbQsA==
YXJlIGdlbmVyYWxseSBjb25zaWRlcmVk	LCDQutCw0Log0L/RgNCw0LLQuNC70L4sINGB0YfQuNGC0LDRjtGC0YHRjw==
aWYgYSBwYXduIHBhY2tlZCBhIHJpZmxl	LCDQtdGB0LvQuCDQv9C10YjQutCwINGD0L/QsNC60L7QstCw0LvQsCDQstC40L3RgtC+0LLQutGD
aXMgZ3JhemVkLCBub3RoaW5nIG1vcmUu	0YfRg9Cy0YHRgtCy0YPQtdGCINGB0LXQsdGPINC30LDQtNC10YLRi9C8LCDQvdC1INCx0L7Qu9C10LUg0YLQvtCz0L4u
bWFwX2xhYmVsLT55b3VyIHBvc2l0aW9u	bWFwX2xhYmVsLT7QstCw0YjQsCDQv9C+0LfQuNGG0LjRjw==
bm9pc2UgZHJhd3MgdGhlIGVuZm9yY2Vy	0YjRg9C8INC/0YDQuNCy0LvQtdC60LDQtdGCINGB0LjQu9C+0LLQuNC60LA=
dGFrZXMgaXQgYW5kIGNhbGxzIGl0IGlu	0LHQtdGA0LXRgiDQuCDQstGL0LfRi9Cy0LDQtdGCINCy
dGhlaXIgdW5yZWdpc3RlcmVkIGNhcmdv	0LjRhSDQvdC10LfQsNGA0LXQs9C40YHRgtGA0LjRgNC+0LLQsNC90L3Ri9C5INCz0YDRg9C3
dGhleSBsYXkgZG93biB0aGVpciBhcm1z	0L7QvdC4INGB0LvQvtC20LjRgiDQvtGA0YPQttC40LU=
dHJ5IGFnYWluLCAtMSBhbmQgcmlzaW5n	0L/QvtC/0YDQvtCx0YPQudGC0LUg0LXRidC1INGA0LDQtywgLTEg0Lgg0YDQsNGB0YLQtdGC
dHJ5IGFnYWluLCAtMiBhbmQgcmlzaW5n	0L/QvtC/0YDQvtCx0YPQudGC0LUg0LXRidC1INGA0LDQtywgLTIg0Lgg0YDQsNGB0YLQtdGC
dXNhYmxlIGltcHJvdmlzZWQgY2hhcmdl	0L/QvtC70LXQt9C90L7Qs9C+INC40LzQv9GA0L7QstC40LfQuNGA0L7QstCw0L3QvdC+0LPQviDQt9Cw0YDRj9C00LA=
ezB9IEF2YWlsYWJsZSBDZWxsczogezF9	ezB9INCU0L7RgdGC0YPQv9C90YvQtSDRj9GH0LXQudC60Lg6IHsxfQ==
ezB9IFRvdGFsIFdlYWx0aDogezE6RjB9	ezB9INCe0LHRidC10LUg0LHQvtCz0LDRgtGB0YLQstC+OiB7MTpGMH0=
ezB9IGlzIGZpcmVkIGludG8gc3BhY2Uu	ezB9INC30LDQv9GD0YnQtdC9INCyINC60L7RgdC80L7RgS4=
ezB9IGlzIGhpZ2ggb24gZ28tanVpY2Uu	ezB9INC+0YfQtdC90Ywg0LvRjtCx0LjRgiDQttC40LTQutC+0YHRgtGMLg==
ezB9IHJldHVybmVkIHdpdGggYSB7MX0u	ezB9INCy0LXRgNC90YPQu9GB0Y8g0YEgezF9Lg==
IE5vIHNhZmUgb3JlIGl0ZW1zIGZvdW5kIQ==	INCR0LXQt9C+0L/QsNGB0L3Ri9GFINGA0YPQtCDQvdC1INC+0LHQvdCw0YDRg9C20LXQvdC+IQ==
IFNldCB2ZWhpY2xlIGZhY3Rpb24gdG8gJw==	INCj0YHRgtCw0L3QvtCy0LjRgtC1INGE0YDQsNC60YbQuNGOINGC0YDQsNC90YHQv9C+0YDRgtC90L7Qs9C+INGB0YDQtdC00YHRgtCy0LAg0L3QsCAn
KG5vIGNyZXcgb24gdGhpcyBjYXJhdmFuKQ==	KNCyINGN0YLQvtC8INC60LDRgNCw0LLQsNC90LUg0L3QtdGCINGN0LrQuNC/0LDQttCwKQ==
QSByZXRhbGlhdG9yeSBmb3JjZSBmcm9tIA==	0J7RgtCy0LXRgtC90YvQuSDRg9C00LDRgCDQvtGCIA==
QnV5IHRoZW0gb3V0IChQZXJzdWFzaW9uKQ==	0JLRi9C60YPQv9C40YLRjCDQuNGFICjQo9Cx0LXQttC00LXQvdC40LUp
Q2FyYXZhbiBoYXMgc2hpZWxkIGJlbHRzLg==	0JrQsNGA0LDQstCw0L0g0LjQvNC10LXRgiDQv9C+0Y/RgdCwINGB0L4g0YnQuNGC0LDQvNC4Lg==
Q2FyYXZhbiBpcyB3ZWxsIGVxdWlwcGVkLg==	0JrQsNGA0LDQstCw0L0g0YXQvtGA0L7RiNC+INC+0LHQvtGA0YPQtNC+0LLQsNC9Lg==
Q2xpbmljIGJ1ZGdldDogezB9IHNpbHZlcg==	0JHRjtC00LbQtdGCINC60LvQuNC90LjQutC4OiB7MH0g0YHQtdGA0LXQsdGA0L4=
Q292ZXIgdGhlIHJlY29yZGVyIChDT09MKQ==	0J3QsNC60YDQvtC50YLQtSDQtNC40LrRgtC+0YTQvtC9IChDT09MKQ==
RGVsaXZlcmVkIGZvciBRdWVzdGlvbmluZw==	0JTQvtGB0YLQsNCy0LvQtdC9INC90LAg0LTQvtC/0YDQvtGB
Rml4ZXIgdW5pbXByZXNzZWQgKC1DcmVkKQ==	0KTQuNC60YHQtdGAINC90LUg0LLQv9C10YfQsNGC0LvQtdC9ICgtQ3JlZCk=
SGFyZGVyIHRvIGhpdCB0aGlzIHJvdW5kLg==	0JIg0Y3RgtC+0Lwg0YDQsNGD0L3QtNC1INGB0LvQvtC20L3QtdC1INC/0L7Qv9Cw0YHRgtGMLg==
TG9vayBmb3IgYSBmdWVsIG1lcmNoYW50Lg==	0J3QsNC50LTQuNGC0LUg0YLQvtGA0LPQvtCy0YbQsCDRgtC+0L/Qu9C40LLQvtC8Lg==
Tm8gaG9sZHMgYmFycmVkOiAzw5cgc3BlZWQ=	0J3QtdGCINC30LDQv9GA0LXRgtC+0LI6IDPDlyDRgdC60L7RgNC+0YHRgtGM
Tm8gb3JnYW5zIGluIHRoZSBjYXJhdmFuLg==	0JIg0LrQsNGA0LDQstCw0L3QtSDQvtGA0LPQsNC90L7QsiDQvdC10YIu
T25lLXNlYXNvbiBiYXphYXIgbG9ja291dA==	0JvQvtC60LDRg9GCINCx0LDQt9Cw0YDQsCDQvdCwINC+0LTQuNC9INGB0LXQt9C+0L0=
T3RoZXIgZml4ZXJzIHdhcnkgKC1DcmVkKQ==	0JTRgNGD0LPQuNC1INGE0LjQutGB0LDRgtC+0YDRiyDQvdCw0YHRgtC+0YDQvtC20LUgKC1DcmVkKQ==
UGlsZmVyIGEgcGFsbGV0IChTdGVhbHRoKQ==	0KPQutGA0LDQtNC40YLQtSDQv9C+0LTQtNC+0L0gKNCh0LrRgNGL0YLQvdC+0YHRgtGMKQ==
UmFuc29tIHNjZW5lIG5leHQgZG9ja2luZw==	0KHRhtC10L3QsCDQstGL0LrRg9C/0LAg0L/RgNC4INGB0LvQtdC00YPRjtGJ0LXQuSDRgdGC0YvQutC+0LLQutC1
U2NhbiBwcm9ncmVzczogezA6RjJ9JXsxfQ==	0KXQvtC0INGB0LrQsNC90LjRgNC+0LLQsNC90LjRjzogezA6RjJ9JXsxfQ==
U2hpcHBpbmctbGluZSBhbWJ1c2ggZmxhZw==	0KTQu9Cw0LMg0LfQsNGB0LDQtNGLINC90LAg0YHRg9C00L7RhdC+0LTQvdC+0Lkg0LvQuNC90LjQuA==
VGhlIHZlaGljbGUgd2FzIGhvdHdpcmVkIQ==	0JDQstGC0L7QvNC+0LHQuNC70Ywg0LHRi9C7INC/0L7QtNC60LvRjtGH0LXQvSDQuiDRgdC10YLQuCE=
VGhpcyB7MH0gaGFzIGZyZXNoIHN0b2NrLg==	0KMg0Y3RgtC+0LPQviB7MH0g0LXRgdGC0Ywg0YHQstC10LbQuNC1INC30LDQv9Cw0YHRiy4=
WW91IHdlcmUgcGFpZCB7MH0gc2lsdmVyLg==	0JLQsNC8INC30LDQv9C70LDRgtC40LvQuCDRgdC10YDQtdCx0YDQviB7MH0u
YSBsZXNzIGV4cGVyaWVuY2VkIHdvcmtlcg==	0LzQtdC90LXQtSDQvtC/0YvRgtC90YvQuSDRgNCw0LHQvtGC0L3QuNC6
Ym90Y2hlZCBjdXQsIGl0IGdvZXMgbG91ZA==	0L3QtdGD0LTQsNGH0L3Ri9C5INCy0YvRgNC10LcsINGN0YLQviDQs9GA0L7QvNC60L4g0LfQstGD0YfQuNGC
ZHVkLCBidXkgb3IgYXNrIHRoZSBmaXhlcg==	0YfRg9GI0YwsINC60YPQv9C40YLQtSDQuNC70Lgg0YHQv9GA0L7RgdC40YLQtSDQvNCw0YHRgtC10YDQsA==
ZnVtYmxlLCB1bmNvbnRyb2xsZWQgc3Bpbg==	0YjQsNGA0LrQsNC90LjQtSwg0L3QtdC60L7QvdGC0YDQvtC70LjRgNGD0LXQvNC+0LUg0LLRgNCw0YnQtdC90LjQtQ==
aGUgdGFrZXMgaXQsIHdhdmVzIHlvdSBvbg==	0L7QvSDQsdC10YDQtdGCINC10LPQviwg0LzQsNGI0LXRgiDQstCw0Lwg0YDRg9C60L7QuQ==
aWYgYSBwYXduIHBhY2tlZCBhIGNoYXJnZQ==	LCDQtdGB0LvQuCDQv9C10YjQutCwINGD0L/QsNC60L7QstCw0LvQsCDQt9Cw0YDRj9C0
d3JvbmcgbmFtZSwgaGUgY2xvY2tzIHlvdQ==	0L3QtdC/0YDQsNCy0LjQu9GM0L3QvtC1INC40LzRjywg0L7QvSDQvdCw0LHQu9GO0LTQsNC10YIg0LfQsCDQstCw0LzQuA==
ezB9IGhhcyBjcmVlcHkgYnJlYXRoaW5nLg==	0KMgezB9INC20YPRgtC60L7QtSDQtNGL0YXQsNC90LjQtS4=
ezB9IGlzIGEgY2FwYWJsZSBlbmZvcmNlcg==	ezB9IOKAlCDRgdC/0L7RgdC+0LHQvdGL0Lkg0YHQuNC70L7QstC40Lou
ezB9IGlzIGEgc29jaWFsIGxpYWJpbGl0eQ==	ezB9IOKAlCDRgdC+0YbQuNCw0LvRjNC90LDRjyDQvtGC0LLQtdGC0YHRgtCy0LXQvdC90L7RgdGC0Ywu
ezB9IGlzIGhpZ2ggb24gc21va2VsZWFmLg==	ezB9INC40LzQtdC10YIg0LLRi9GB0L7QutC40Lkg0YPRgNC+0LLQtdC90Ywg0LTRi9C80L3QvtCz0L4g0LvQuNGB0YLQsC4=
ezB9IGlzIHN0YWdnZXJpbmdseSB1Z2x5Lg==	ezB9INC/0L7RgtGA0Y/RgdCw0Y7RidC1INGD0YDQvtC00LvQuNCyLg==
